session,wave,copy,target,iterations,wall_s,cpu_s,exit_code
8,9,1,xml-parse,400000,30.2,15.8,0
8,9,1,plist-parse,400000,38,23.3,0
8,9,1,hcl-parse,400000,61,44.5,0
8,9,1,json-ops,75000,32.8,16.5,0
8,9,1,toml-ops,75000,19.3,8.7,0
8,9,1,yaml-ops,75000,37,21.9,0
8,9,1,ini-ops,75000,39.1,23.1,0
8,9,1,properties-ops,75000,47.7,32.4,0
8,9,1,xml-ops,75000,6.3,5,0
8,9,1,plist-ops,75000,11.5,5.9,0
8,9,1,hcl-ops,75000,28.5,15,0
8,9,1,protocol-decode,800000,38,29.3,0
8,9,2,json-parse,400000,53.8,41.3,0
8,9,2,toml-parse,400000,44.1,27,0
8,9,2,yaml-parse,400000,64.5,56.7,0
8,9,2,ini-parse,400000,74.3,56.5,0
8,9,2,properties-parse,400000,73.7,59.3,0
8,9,2,xml-parse,400000,29.5,15.5,0
8,9,2,plist-parse,400000,36.4,21.2,0
8,9,2,hcl-parse,400000,56.4,44.2,0
8,9,2,json-ops,75000,28,15.8,0
8,9,2,toml-ops,75000,13,8.4,0
8,9,2,yaml-ops,75000,32.2,19.8,0
8,9,2,ini-ops,75000,39.5,21.5,0
8,9,2,properties-ops,75000,48.2,30.7,0
8,9,2,xml-ops,75000,10.9,5.3,0
8,9,2,plist-ops,75000,7.3,5.8,0
8,9,2,hcl-ops,75000,22.2,13.6,0
8,9,2,protocol-decode,800000,46.5,29.8,0
8,9,3,json-parse,400000,55.7,41.6,0
8,9,3,toml-parse,400000,39.4,25.6,0
8,9,3,yaml-parse,400000,73.6,55.3,0
8,9,3,ini-parse,400000,70.6,53.8,0
8,9,3,properties-parse,400000,73.1,60.2,0
8,9,3,xml-parse,400000,29.4,15.5,0
8,9,3,plist-parse,400000,32.1,21.3,0
8,9,3,hcl-parse,400000,59.8,44.6,0
8,9,3,json-ops,75000,32.1,16.5,0
8,9,3,toml-ops,75000,13.9,8.4,0
8,9,3,yaml-ops,75000,32.6,19.8,0
8,9,3,ini-ops,75000,31,21,0
8,9,3,properties-ops,75000,45.5,30,0
8,9,3,xml-ops,75000,11.8,5.6,0
8,9,3,plist-ops,75000,17.5,5.8,0
8,9,3,hcl-ops,75000,29.9,14.5,0
8,9,3,protocol-decode,800000,44.9,30.4,0
8,10,1,json-parse,400000,53.5,36.3,0
8,10,1,toml-parse,400000,40.2,25.7,0
8,10,1,yaml-parse,400000,63.7,47.3,0
8,10,1,ini-parse,400000,63.2,47.3,0
8,10,1,properties-parse,400000,65.7,48.9,0
8,10,1,xml-parse,400000,31,16.4,0
8,10,1,plist-parse,400000,35.6,23.1,0
8,10,1,hcl-parse,400000,54.6,38.8,0
8,10,1,json-ops,75000,31.5,16.4,0
8,10,1,toml-ops,75000,20.2,9.1,0
8,10,1,yaml-ops,75000,40.2,22.8,0
